time_s,activity
0.000000000000000000e+00,0.000000000000000000e+00
6.833999999999999797e-03,0.000000000000000000e+00
1.366599999999999933e-02,0.000000000000000000e+00
2.044899999999999843e-02,0.000000000000000000e+00
2.725899999999999851e-02,0.000000000000000000e+00
3.406499999999999806e-02,0.000000000000000000e+00
4.086800000000000155e-02,0.000000000000000000e+00
4.769999999999999934e-02,0.000000000000000000e+00
5.441199999999999509e-02,0.000000000000000000e+00
6.115999999999999909e-02,0.000000000000000000e+00
6.793699999999999739e-02,0.000000000000000000e+00
7.473099999999999188e-02,0.000000000000000000e+00
8.148199999999999887e-02,0.000000000000000000e+00
8.829999999999998961e-02,0.000000000000000000e+00
9.505299999999999860e-02,0.000000000000000000e+00
1.018119999999999997e-01,0.000000000000000000e+00
1.085969999999999991e-01,0.000000000000000000e+00
1.153749999999999915e-01,0.000000000000000000e+00
1.222029999999999922e-01,0.000000000000000000e+00
1.290310000000000068e-01,0.000000000000000000e+00
1.358020000000000060e-01,0.000000000000000000e+00
1.425849999999999895e-01,0.000000000000000000e+00
1.493690000000000018e-01,0.000000000000000000e+00
1.561499999999999833e-01,0.000000000000000000e+00
1.629329999999999945e-01,0.000000000000000000e+00
1.697940000000000005e-01,0.000000000000000000e+00
1.765089999999999992e-01,0.000000000000000000e+00
1.832469999999999932e-01,0.000000000000000000e+00
1.899909999999999932e-01,0.000000000000000000e+00
1.967859999999999887e-01,0.000000000000000000e+00
2.036079999999999834e-01,0.000000000000000000e+00
2.104229999999999989e-01,0.000000000000000000e+00
2.171729999999999772e-01,0.000000000000000000e+00
2.240289999999999782e-01,0.000000000000000000e+00
2.308419999999999916e-01,0.000000000000000000e+00
2.376119999999999899e-01,0.000000000000000000e+00
2.444249999999999756e-01,0.000000000000000000e+00
2.512289999999999801e-01,0.000000000000000000e+00
2.580399999999999916e-01,0.000000000000000000e+00
2.647959999999999758e-01,0.000000000000000000e+00
2.715130000000000043e-01,0.000000000000000000e+00
2.783069999999999711e-01,0.000000000000000000e+00
2.851849999999999663e-01,0.000000000000000000e+00
2.919459999999999833e-01,0.000000000000000000e+00
2.987329999999999708e-01,0.000000000000000000e+00
3.055229999999999890e-01,0.000000000000000000e+00
3.122260000000000035e-01,0.000000000000000000e+00
3.189770000000000105e-01,0.000000000000000000e+00
3.258519999999999750e-01,0.000000000000000000e+00
3.326859999999999817e-01,0.000000000000000000e+00
3.394840000000000080e-01,0.000000000000000000e+00
3.462569999999999815e-01,0.000000000000000000e+00
3.530599999999999850e-01,0.000000000000000000e+00
3.598869999999999569e-01,0.000000000000000000e+00
3.666269999999999807e-01,0.000000000000000000e+00
3.733400000000000052e-01,0.000000000000000000e+00
3.801979999999999804e-01,0.000000000000000000e+00
3.870009999999999839e-01,0.000000000000000000e+00
3.937569999999999681e-01,0.000000000000000000e+00
4.005189999999999584e-01,0.000000000000000000e+00
4.073399999999999799e-01,0.000000000000000000e+00
4.141149999999999554e-01,0.000000000000000000e+00
4.209459999999999869e-01,0.000000000000000000e+00
4.277479999999999616e-01,0.000000000000000000e+00
4.345449999999999591e-01,0.000000000000000000e+00
4.413309999999999733e-01,0.000000000000000000e+00
4.481479999999999908e-01,0.000000000000000000e+00
4.549329999999999763e-01,0.000000000000000000e+00
4.617249999999999965e-01,0.000000000000000000e+00
4.684539999999999815e-01,0.000000000000000000e+00
4.752489999999999770e-01,0.000000000000000000e+00
4.820079999999999920e-01,0.000000000000000000e+00
4.887749999999999595e-01,0.000000000000000000e+00
4.955709999999999837e-01,0.000000000000000000e+00
5.023900000000000032e-01,0.000000000000000000e+00
5.092050000000000187e-01,0.000000000000000000e+00
5.160179999999999767e-01,0.000000000000000000e+00
5.228439999999999754e-01,0.000000000000000000e+00
5.295769999999999644e-01,0.000000000000000000e+00
5.363669999999999272e-01,0.000000000000000000e+00
5.431310000000000304e-01,0.000000000000000000e+00
5.499419999999999309e-01,0.000000000000000000e+00
5.566360000000000197e-01,0.000000000000000000e+00
5.633920000000000039e-01,0.000000000000000000e+00
5.702289999999999859e-01,0.000000000000000000e+00
5.770489999999999231e-01,0.000000000000000000e+00
5.838280000000000136e-01,0.000000000000000000e+00
5.905789999999999651e-01,0.000000000000000000e+00
5.973779999999999646e-01,0.000000000000000000e+00
6.041739999999999888e-01,0.000000000000000000e+00
6.109839999999999716e-01,0.000000000000000000e+00
6.178080000000000238e-01,0.000000000000000000e+00
6.246019999999999905e-01,0.000000000000000000e+00
6.313639999999999253e-01,0.000000000000000000e+00
6.381409999999999583e-01,0.000000000000000000e+00
6.449380000000000113e-01,0.000000000000000000e+00
6.517029999999999212e-01,0.000000000000000000e+00
