frame,fps,on_events,off_events
265,52.8,2333,2606
266,52.8,2322,2662
267,52.8,2421,2552
268,52.8,2365,2549
269,52.8,2547,2210
270,52.8,2405,2404
271,52.8,2507,2007
272,52.8,2154,2989
273,52.8,2539,2476
274,52.8,2393,2673
275,52.8,2614,2536
276,52.8,2483,2449
277,52.8,2337,2333
278,52.8,2282,2473
279,52.8,2389,2488
280,52.8,2496,2205
281,52.8,2304,2567
282,52.8,2447,2576
283,52.8,2388,2593
284,52.8,2485,2497
285,52.8,2493,2571
286,52.8,2422,2356
287,52.8,2362,2475
288,52.8,2388,2886
289,52.8,2579,2460
290,52.8,2452,2648
291,52.8,2518,2576
292,52.8,2428,2748
293,52.8,2438,2766
294,52.8,2615,2445
295,52.8,2450,2318
296,52.8,2353,2768
297,52.8,2464,2391
298,52.8,2427,2737
299,52.8,2589,2477
300,52.8,2533,2475
301,52.9,2296,2848
302,53.0,2740,2754
303,53.0,2551,2572
304,53.0,2574,2863
305,53.0,2672,3005
306,53.0,2617,2785
307,53.0,2792,2824
308,53.0,2628,2905
309,53.0,2920,2347
310,53.0,2555,2703
311,53.0,2764,2757
312,53.0,2655,2636
313,53.0,2570,2493
314,53.0,2547,2247
315,53.0,2307,2808
316,53.0,2661,2671
317,53.0,2634,2487
318,53.0,2454,2810
319,53.0,2703,2562
320,53.0,2460,2393
321,53.0,2403,2525
322,53.0,2527,2768
323,53.0,2597,2719
324,53.0,2544,2485
325,53.0,2438,2634
326,53.0,2578,2755
327,53.0,2465,2678
328,53.0,2583,2646
329,53.0,2347,2701
330,53.0,2590,2585
331,53.0,2462,2808
332,53.0,2583,2956
333,53.0,2702,2361
334,53.0,2480,2729
335,53.0,2605,2590
336,53.0,2499,2659
337,53.0,2695,2368
338,53.0,2460,2817
339,53.0,2439,2699
340,53.0,2587,2507
341,53.0,2530,2690
342,53.0,2509,2673
343,53.0,2397,2916
344,53.0,2779,2407
345,53.0,2511,3005
346,53.0,2747,2638
347,53.0,2696,2909
348,53.0,2797,2624
349,53.0,2567,2758
350,53.0,2776,2518
351,53.0,2415,2780
352,53.0,2740,2640
353,53.0,2732,2624
354,53.0,2394,2746
355,52.9,2451,2860
356,53.0,2637,2350
357,53.0,2469,2966
358,53.0,2621,2643
359,53.0,2508,2317
360,53.0,2327,2660
361,53.0,2417,2705
362,53.0,2724,2492
363,53.0,2353,2736
364,53.0,2559,2328
365,53.0,2329,2490
366,53.0,2463,2959
367,52.9,2655,2502
368,52.9,2595,2679
369,52.9,2550,2465
370,52.9,2549,2940
371,52.9,2753,2429
372,52.9,2272,2976
373,52.9,2760,2374
374,52.9,2437,2445
375,52.9,2523,2323
376,52.9,2231,2688
377,52.9,2633,2561
378,52.9,2531,2759
379,52.9,2719,2488
380,52.9,2512,2941
381,52.9,2660,2910
382,52.9,2932,2309
383,52.9,2553,2693
384,52.9,2506,2748
385,52.9,2550,2940
386,52.9,2707,2480
387,52.9,2501,2812
388,52.9,2661,2841
389,52.9,2450,2535
390,52.9,2525,2442
391,52.9,2611,2675
392,52.9,2560,2391
393,52.9,2461,2765
394,52.9,2559,2525
395,52.9,2427,2756
396,52.9,2513,2453
397,52.9,2357,2466
398,52.9,2381,3064
399,52.9,2774,2573
400,52.9,2573,2622
401,52.9,2589,2524
402,52.9,2458,2490
403,52.9,2354,2753
404,52.9,2614,2703
405,52.9,2607,2496
406,52.9,2456,2678
407,52.9,2745,2455
408,52.9,2448,2723
409,52.9,2572,2954
410,52.9,2657,2453
411,52.9,2243,2703
412,52.9,2608,2482
413,52.9,2413,2284
414,52.9,2232,3286
415,52.9,2694,2377
416,52.9,2493,2460
417,52.9,2479,2926
418,52.9,2444,2745
419,52.9,2534,2561
420,52.9,2322,2749
421,52.9,2421,2631
422,52.9,2471,2523
423,52.9,2442,2823
424,52.9,2581,2761
425,52.9,2605,2758
426,52.9,2675,2618
427,52.9,2376,3174
428,52.9,2829,2410
429,52.9,2523,2856
430,52.9,2593,2451
431,52.9,2471,2967
432,52.9,2626,2297
433,52.9,2243,2748
434,52.9,2543,2351
435,52.9,2407,2463
436,52.9,2615,2634
437,52.9,2680,2747
438,52.9,2798,2843
439,52.9,2895,3105
440,52.9,2920,2823
441,52.9,3006,2977
442,52.9,2980,3305
443,52.9,3054,3132
444,52.9,3274,2864
445,52.9,2981,3310
