frame,fps,on_events,off_events
265,50.7,7496,5491
266,50.7,6714,7300
267,50.7,6706,5914
268,50.7,6590,6224
269,50.7,6703,7101
270,50.7,5450,5806
271,50.7,6269,5104
272,50.7,5696,5204
273,50.7,5977,5275
274,50.7,6597,5966
275,50.7,6183,6319
276,50.7,5726,6131
277,50.7,6397,5896
278,50.7,5623,5750
279,50.7,5293,5048
280,50.7,5651,5198
281,50.7,4894,5069
282,50.7,5917,5220
283,50.7,5517,5710
284,50.7,5246,5562
285,50.7,6470,5792
286,50.7,5326,6636
287,50.7,5841,5335
288,50.6,5269,5871
289,50.6,6179,5642
290,50.6,4864,5828
291,50.6,5888,5340
292,50.6,5591,6221
293,50.6,5770,4959
294,50.6,6613,6035
295,50.6,6568,6510
296,50.6,6108,5705
297,50.6,5837,5411
298,50.6,6016,5851
299,50.6,6041,5639
300,50.6,6939,5612
301,50.6,5287,6794
302,50.6,6323,4451
303,50.6,5815,6353
304,50.6,6240,6333
305,50.6,5946,5744
306,50.6,5650,6187
307,50.6,5341,5508
308,50.6,6029,5640
309,50.6,6431,6014
310,50.6,5271,7260
311,50.6,5419,5268
312,50.6,6746,6489
313,50.6,7528,7047
314,50.6,6691,6469
315,50.6,7398,6761
316,50.6,8096,7767
317,50.6,9713,8379
318,50.6,11272,10486
319,50.6,9967,10484
320,50.6,8094,8538
321,50.6,8726,8820
322,50.6,9090,10209
323,50.6,8850,9087
324,50.6,6597,7550
325,50.6,7875,8401
326,50.6,7714,8789
327,50.6,6539,7407
328,50.6,6661,6529
329,50.6,6729,7294
330,50.6,7334,7279
331,50.7,7042,6572
332,50.8,6719,7342
333,50.8,8888,7472
334,50.8,7979,8358
335,50.8,6458,6435
336,50.8,7381,6160
337,50.8,5628,6299
338,50.7,6602,6186
339,50.7,6344,6669
340,50.7,6938,7435
341,50.7,6333,6707
342,50.7,6171,5921
343,50.7,5928,6194
344,50.7,7225,6372
345,50.7,6392,7075
346,50.7,6210,6328
347,50.7,5210,6432
348,50.7,5771,5419
349,50.7,6997,5819
350,50.7,6988,6717
351,50.7,6930,6043
352,50.7,6278,6496
353,50.7,6601,5665
354,50.7,7096,5662
355,50.7,7022,6089
356,50.7,7702,6137
357,50.7,6536,6944
358,50.7,6077,5419
359,50.7,7252,6735
360,50.7,6122,6962
361,50.7,6668,7558
