time_s,activity
0.000000000000000000e+00,0.000000000000000000e+00
3.710999999999999889e-03,0.000000000000000000e+00
7.420999999999999645e-03,0.000000000000000000e+00
1.113499999999999907e-02,0.000000000000000000e+00
1.485299999999999988e-02,0.000000000000000000e+00
1.856999999999999970e-02,0.000000000000000000e+00
2.228999999999999732e-02,0.000000000000000000e+00
2.597499999999999809e-02,0.000000000000000000e+00
2.964400000000000021e-02,0.000000000000000000e+00
3.335899999999999976e-02,0.000000000000000000e+00
3.703800000000000148e-02,0.000000000000000000e+00
4.071999999999999925e-02,0.000000000000000000e+00
4.442899999999999627e-02,0.000000000000000000e+00
4.811999999999999611e-02,0.000000000000000000e+00
5.181099999999999595e-02,0.000000000000000000e+00
5.551199999999999884e-02,0.000000000000000000e+00
5.919299999999999562e-02,0.000000000000000000e+00
6.289299999999999058e-02,0.000000000000000000e+00
6.658499999999999142e-02,0.000000000000000000e+00
7.029699999999999838e-02,0.000000000000000000e+00
7.397199999999999609e-02,0.000000000000000000e+00
7.767599999999999505e-02,0.000000000000000000e+00
8.138700000000000101e-02,0.000000000000000000e+00
8.510399999999999909e-02,0.000000000000000000e+00
8.878899999999999293e-02,0.000000000000000000e+00
9.250399999999998901e-02,0.000000000000000000e+00
9.615399999999998948e-02,0.000000000000000000e+00
9.986599999999999644e-02,0.000000000000000000e+00
1.035459999999999992e-01,0.000000000000000000e+00
1.072889999999999955e-01,0.000000000000000000e+00
1.109689999999999982e-01,0.000000000000000000e+00
1.146889999999999993e-01,0.000000000000000000e+00
1.183599999999999930e-01,0.000000000000000000e+00
1.220519999999999938e-01,0.000000000000000000e+00
1.257359999999999867e-01,0.000000000000000000e+00
1.294369999999999965e-01,0.000000000000000000e+00
1.331279999999999963e-01,0.000000000000000000e+00
1.368169999999999942e-01,0.000000000000000000e+00
1.405329999999999913e-01,0.000000000000000000e+00
1.442499999999999893e-01,0.000000000000000000e+00
1.479399999999999882e-01,0.000000000000000000e+00
1.516480000000000050e-01,0.000000000000000000e+00
1.553499999999999881e-01,0.000000000000000000e+00
1.590409999999999879e-01,0.000000000000000000e+00
1.627709999999999990e-01,0.000000000000000000e+00
1.665069999999999883e-01,0.000000000000000000e+00
1.702069999999999972e-01,0.000000000000000000e+00
1.738999999999999990e-01,0.000000000000000000e+00
1.776169999999999971e-01,0.000000000000000000e+00
1.813259999999999872e-01,0.000000000000000000e+00
1.849889999999999868e-01,0.000000000000000000e+00
1.886980000000000046e-01,0.000000000000000000e+00
1.923809999999999965e-01,0.000000000000000000e+00
1.960749999999999993e-01,0.000000000000000000e+00
1.997769999999999824e-01,0.000000000000000000e+00
2.034749999999999892e-01,0.000000000000000000e+00
2.072009999999999963e-01,0.000000000000000000e+00
2.109189999999999954e-01,0.000000000000000000e+00
2.146329999999999905e-01,0.000000000000000000e+00
2.183329999999999993e-01,0.000000000000000000e+00
2.219899999999999929e-01,0.000000000000000000e+00
2.256879999999999997e-01,0.000000000000000000e+00
2.293989999999999918e-01,0.000000000000000000e+00
2.330749999999999766e-01,0.000000000000000000e+00
2.367340000000000000e-01,0.000000000000000000e+00
2.404099999999999848e-01,0.000000000000000000e+00
2.440900000000000014e-01,0.000000000000000000e+00
2.477729999999999932e-01,0.000000000000000000e+00
2.515040000000000053e-01,0.000000000000000000e+00
2.552189999999999737e-01,0.000000000000000000e+00
2.589579999999999660e-01,0.000000000000000000e+00
2.626700000000000146e-01,0.000000000000000000e+00
2.663689999999999669e-01,0.000000000000000000e+00
2.700690000000000035e-01,0.000000000000000000e+00
2.737479999999999913e-01,0.000000000000000000e+00
2.774760000000000004e-01,0.000000000000000000e+00
2.811790000000000123e-01,0.000000000000000000e+00
2.849129999999999718e-01,0.000000000000000000e+00
2.886029999999999984e-01,0.000000000000000000e+00
2.922919999999999963e-01,0.000000000000000000e+00
2.959729999999999861e-01,0.000000000000000000e+00
2.996749999999999692e-01,0.000000000000000000e+00
3.033629999999999938e-01,0.000000000000000000e+00
3.070330000000000004e-01,0.000000000000000000e+00
3.107309999999999794e-01,0.000000000000000000e+00
3.144529999999999825e-01,0.000000000000000000e+00
3.181419999999999804e-01,0.000000000000000000e+00
3.218439999999999634e-01,0.000000000000000000e+00
3.255569999999999853e-01,0.000000000000000000e+00
3.292729999999999824e-01,0.000000000000000000e+00
3.329559999999999742e-01,0.000000000000000000e+00
3.366659999999999653e-01,0.000000000000000000e+00
3.403589999999999671e-01,0.000000000000000000e+00
3.440539999999999710e-01,0.000000000000000000e+00
3.477500000000000036e-01,0.000000000000000000e+00
3.514639999999999986e-01,0.000000000000000000e+00
3.551559999999999717e-01,0.000000000000000000e+00
3.588419999999999943e-01,0.000000000000000000e+00
3.625549999999999606e-01,0.000000000000000000e+00
3.662219999999999920e-01,0.000000000000000000e+00
3.699049999999999838e-01,0.000000000000000000e+00
3.736239999999999561e-01,0.000000000000000000e+00
3.773279999999999967e-01,0.000000000000000000e+00
3.810310000000000086e-01,0.000000000000000000e+00
3.847529999999999561e-01,0.000000000000000000e+00
3.884670000000000067e-01,0.000000000000000000e+00
3.921699999999999631e-01,0.000000000000000000e+00
3.958689999999999709e-01,0.000000000000000000e+00
3.995799999999999907e-01,0.000000000000000000e+00
4.032639999999999558e-01,0.000000000000000000e+00
4.069769999999999777e-01,0.000000000000000000e+00
